date,keyword,value,geo
2026-08-31,Luna Ultra,16,DE
2026-09-01,Luna Ultra,13,DE
2026-09-02,Luna Ultra,16,DE
2026-09-03,Luna Ultra,15,DE
2026-09-04,Luna Ultra,13,DE
2026-09-05,Luna Ultra,17,DE
2026-09-06,Luna Ultra,15,DE
2026-08-31,Insta360 Luna,8,DE
2026-09-01,Insta360 Luna,6,DE
2026-09-02,Insta360 Luna,9,DE
2026-09-03,Insta360 Luna,11,DE
2026-09-04,Insta360 Luna,8,DE
2026-09-05,Insta360 Luna,9,DE
2026-09-06,Insta360 Luna,10,DE
2026-08-31,DJI Osmo Pocket 4,54,DE
2026-09-01,DJI Osmo Pocket 4,52,DE
2026-09-02,DJI Osmo Pocket 4,44,DE
2026-09-03,DJI Osmo Pocket 4,44,DE
2026-09-04,DJI Osmo Pocket 4,48,DE
2026-09-05,DJI Osmo Pocket 4,53,DE
2026-09-06,DJI Osmo Pocket 4,52,DE
2026-08-31,Pocket 4,97,DE
2026-09-01,Pocket 4,93,DE
2026-09-02,Pocket 4,90,DE
2026-09-03,Pocket 4,86,DE
2026-09-04,Pocket 4,100,DE
2026-09-05,Pocket 4,95,DE
2026-09-06,Pocket 4,98,DE
2026-08-31,Luna Ultra,35,IT
2026-09-01,Luna Ultra,33,IT
2026-09-02,Luna Ultra,29,IT
2026-09-03,Luna Ultra,29,IT
2026-09-04,Luna Ultra,33,IT
2026-09-05,Luna Ultra,36,IT
2026-09-06,Luna Ultra,35,IT
2026-08-31,Insta360 Luna,20,IT
2026-09-01,Insta360 Luna,15,IT
2026-09-02,Insta360 Luna,14,IT
2026-09-03,Insta360 Luna,20,IT
2026-09-04,Insta360 Luna,17,IT
2026-09-05,Insta360 Luna,19,IT
2026-09-06,Insta360 Luna,17,IT
2026-08-31,DJI Osmo Pocket 4,31,IT
2026-09-01,DJI Osmo Pocket 4,31,IT
2026-09-02,DJI Osmo Pocket 4,37,IT
2026-09-03,DJI Osmo Pocket 4,37,IT
2026-09-04,DJI Osmo Pocket 4,31,IT
2026-09-05,DJI Osmo Pocket 4,30,IT
2026-09-06,DJI Osmo Pocket 4,36,IT
2026-08-31,Pocket 4,88,IT
2026-09-01,Pocket 4,89,IT
2026-09-02,Pocket 4,92,IT
2026-09-03,Pocket 4,94,IT
2026-09-04,Pocket 4,95,IT
2026-09-05,Pocket 4,89,IT
2026-09-06,Pocket 4,100,IT
2026-08-31,Luna Ultra,7,FR
2026-09-01,Luna Ultra,6,FR
2026-09-02,Luna Ultra,8,FR
2026-09-03,Luna Ultra,9,FR
2026-09-04,Luna Ultra,9,FR
2026-09-05,Luna Ultra,8,FR
2026-09-06,Luna Ultra,8,FR
2026-08-31,Insta360 Luna,2,FR
2026-09-01,Insta360 Luna,4,FR
2026-09-02,Insta360 Luna,5,FR
2026-09-03,Insta360 Luna,5,FR
2026-09-04,Insta360 Luna,5,FR
2026-09-05,Insta360 Luna,5,FR
2026-09-06,Insta360 Luna,5,FR
2026-08-31,DJI Osmo Pocket 4,27,FR
2026-09-01,DJI Osmo Pocket 4,24,FR
2026-09-02,DJI Osmo Pocket 4,28,FR
2026-09-03,DJI Osmo Pocket 4,28,FR
2026-09-04,DJI Osmo Pocket 4,27,FR
2026-09-05,DJI Osmo Pocket 4,39,FR
2026-09-06,DJI Osmo Pocket 4,40,FR
2026-08-31,Pocket 4,75,FR
2026-09-01,Pocket 4,72,FR
2026-09-02,Pocket 4,83,FR
2026-09-03,Pocket 4,77,FR
2026-09-04,Pocket 4,78,FR
2026-09-05,Pocket 4,94,FR
2026-09-06,Pocket 4,100,FR
2026-08-31,Luna Ultra,26,ES
2026-09-01,Luna Ultra,23,ES
2026-09-02,Luna Ultra,23,ES
2026-09-03,Luna Ultra,20,ES
2026-09-04,Luna Ultra,16,ES
2026-09-05,Luna Ultra,22,ES
2026-09-06,Luna Ultra,16,ES
2026-08-31,Insta360 Luna,9,ES
2026-09-01,Insta360 Luna,6,ES
2026-09-02,Insta360 Luna,9,ES
2026-09-03,Insta360 Luna,9,ES
2026-09-04,Insta360 Luna,5,ES
2026-09-05,Insta360 Luna,5,ES
2026-09-06,Insta360 Luna,8,ES
2026-08-31,DJI Osmo Pocket 4,29,ES
2026-09-01,DJI Osmo Pocket 4,25,ES
2026-09-02,DJI Osmo Pocket 4,27,ES
2026-09-03,DJI Osmo Pocket 4,27,ES
2026-09-04,DJI Osmo Pocket 4,30,ES
2026-09-05,DJI Osmo Pocket 4,23,ES
2026-09-06,DJI Osmo Pocket 4,31,ES
2026-08-31,Pocket 4,67,ES
2026-09-01,Pocket 4,63,ES
2026-09-02,Pocket 4,79,ES
2026-09-03,Pocket 4,65,ES
2026-09-04,Pocket 4,73,ES
2026-09-05,Pocket 4,69,ES
2026-09-06,Pocket 4,100,ES
2026-08-31,Luna Ultra,12,GB
2026-09-01,Luna Ultra,12,GB
2026-09-02,Luna Ultra,9,GB
2026-09-03,Luna Ultra,12,GB
2026-09-04,Luna Ultra,12,GB
2026-09-05,Luna Ultra,15,GB
2026-09-06,Luna Ultra,13,GB
2026-08-31,Insta360 Luna,6,GB
2026-09-01,Insta360 Luna,6,GB
2026-09-02,Insta360 Luna,5,GB
2026-09-03,Insta360 Luna,8,GB
2026-09-04,Insta360 Luna,8,GB
2026-09-05,Insta360 Luna,9,GB
2026-09-06,Insta360 Luna,8,GB
2026-08-31,DJI Osmo Pocket 4,35,GB
2026-09-01,DJI Osmo Pocket 4,34,GB
2026-09-02,DJI Osmo Pocket 4,34,GB
2026-09-03,DJI Osmo Pocket 4,35,GB
2026-09-04,DJI Osmo Pocket 4,37,GB
2026-09-05,DJI Osmo Pocket 4,41,GB
2026-09-06,DJI Osmo Pocket 4,41,GB
